epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,90.514,0.46031,0.54635,0.39667,0.00348,0.20142,0.89798,0.91239,0.96382,0.91298,0.89798,0.91239,0.96382,0.88741,0.40386,0.47706,0.3732,0.00357,0,0.000323628,0.000323628,0.000323628
28,93.9689,0.47416,0.476,0.41026,0.00383,0.14218,0.93737,0.89772,0.96397,0.93493,0.93737,0.89772,0.96397,0.88971,0.35809,0.46451,0.36289,0.00317,0,0.000310422,0.000310422,0.000310422
29,97.2477,0.45525,0.52668,0.42821,0.00373,0.18477,0.93454,0.90106,0.96511,0.92266,0.93454,0.90106,0.96511,0.88625,0.37054,0.45876,0.36236,0.00333,0,0.000297215,0.000297215,0.000297215
30,100.465,0.49797,0.63461,0.43675,0.00366,0.19577,0.93907,0.90937,0.96702,0.93879,0.93907,0.90937,0.96702,0.88606,0.35874,0.44837,0.33713,0.0031,0,0.000284009,0.000284009,0.000284009
31,103.968,0.422,0.52435,0.4345,0.00304,0.19681,0.93813,0.90823,0.9672,0.933,0.93813,0.90823,0.9672,0.89116,0.36215,0.44546,0.33314,0.00315,0,0.000270802,0.000270802,0.000270802
32,107.267,0.3857,0.47686,0.34695,0.00296,0.16574,0.93922,0.90759,0.9658,0.91962,0.93922,0.90759,0.9658,0.89028,0.37119,0.43933,0.33932,0.00331,0,0.000257595,0.000257595,0.000257595
33,110.441,0.40219,0.43621,0.26464,0.00313,0.09976,0.93031,0.92419,0.96516,0.92662,0.93031,0.92419,0.96516,0.88935,0.36465,0.43752,0.33972,0.00326,0,0.000244389,0.000244389,0.000244389
34,113.537,0.3944,0.49851,0.40978,0.00313,0.11134,0.92849,0.93017,0.96598,0.92196,0.92849,0.93017,0.96598,0.88869,0.38136,0.43585,0.34052,0.00344,0,0.000231182,0.000231182,0.000231182
35,116.497,0.42039,0.52504,0.38792,0.00333,0.18285,0.93589,0.91615,0.96509,0.9187,0.93589,0.91615,0.96509,0.88943,0.39463,0.43495,0.34166,0.00357,0,0.000217976,0.000217976,0.000217976
36,119.892,0.40287,0.50375,0.36346,0.00321,0.13059,0.90081,0.94046,0.96112,0.92692,0.90081,0.94046,0.96112,0.89172,0.34923,0.43293,0.33903,0.00308,0,0.000204769,0.000204769,0.000204769
37,123.075,0.45963,0.55432,0.37013,0.00347,0.1649,0.89113,0.95148,0.9573,0.92882,0.89113,0.95148,0.9573,0.88505,0.3307,0.4321,0.33911,0.00292,0,0.000191562,0.000191562,0.000191562
38,126.487,0.4235,0.49904,0.34365,0.00345,0.15885,0.93566,0.88981,0.95893,0.94145,0.93566,0.88981,0.95893,0.89083,0.31122,0.42898,0.33695,0.00275,0,0.000178356,0.000178356,0.000178356
39,129.397,0.4119,0.47751,0.34703,0.00296,0.17461,0.88561,0.93269,0.96034,0.94175,0.88561,0.93269,0.96034,0.8935,0.30216,0.42756,0.32932,0.00267,0,0.000165149,0.000165149,0.000165149
40,132.455,0.37794,0.45047,0.33087,0.00299,0.16531,0.89612,0.94163,0.96193,0.93856,0.89612,0.94163,0.96193,0.89812,0.3064,0.4234,0.32359,0.00275,0,0.000151943,0.000151943,0.000151943
41,136.751,0.30548,0.41011,0.22874,0.00288,0.07336,0.89466,0.94241,0.96116,0.93451,0.89466,0.94241,0.96116,0.89487,0.3293,0.42132,0.32969,0.00297,0,0.000138736,0.000138736,0.000138736
42,139.913,0.32521,0.40309,0.20172,0.00323,0.0803,0.89781,0.9457,0.95653,0.91794,0.89781,0.9457,0.95653,0.89397,0.37324,0.41749,0.34383,0.00334,0,0.000125529,0.000125529,0.000125529
43,143.064,0.34922,0.40136,0.27146,0.00344,0.10971,0.9027,0.94462,0.95497,0.9149,0.9027,0.94462,0.95497,0.89123,0.37656,0.41638,0.34207,0.00337,0,0.000112323,0.000112323,0.000112323
44,146.316,0.3544,0.42346,0.20179,0.00319,0.07337,0.9015,0.94341,0.95574,0.92323,0.9015,0.94341,0.95574,0.888,0.34597,0.41441,0.33284,0.00306,0,9.91162e-05,9.91162e-05,9.91162e-05
45,149.243,0.32074,0.4033,0.22024,0.00317,0.07916,0.90306,0.94121,0.95769,0.92992,0.90306,0.94121,0.95769,0.89142,0.32271,0.41368,0.3279,0.00284,0,8.59096e-05,8.59096e-05,8.59096e-05
46,152.357,0.30044,0.39602,0.19636,0.00275,0.07636,0.91559,0.93943,0.9613,0.93754,0.91559,0.93943,0.9613,0.89188,0.30052,0.41289,0.30725,0.00268,0,7.2703e-05,7.2703e-05,7.2703e-05
47,155.238,0.29887,0.39645,0.20607,0.0029,0.07442,0.91637,0.94024,0.96116,0.93821,0.91637,0.94024,0.96116,0.89034,0.29278,0.4126,0.31001,0.00258,0,5.94964e-05,5.94964e-05,5.94964e-05
48,158.276,0.29039,0.40316,0.22464,0.00277,0.07598,0.91748,0.93821,0.96308,0.94042,0.91748,0.93821,0.96308,0.89585,0.29087,0.41176,0.30659,0.00255,0,4.62898e-05,4.62898e-05,4.62898e-05
49,161.309,0.32622,0.40932,0.26574,0.00338,0.07286,0.91742,0.93823,0.96308,0.94119,0.91742,0.93823,0.96308,0.8948,0.28924,0.41167,0.30724,0.00254,0,3.30832e-05,3.30832e-05,3.30832e-05
50,164.381,0.28395,0.40003,0.19282,0.00281,0.06607,0.91914,0.9354,0.96467,0.9422,0.91914,0.9354,0.96467,0.89749,0.2914,0.411,0.30806,0.00254,0,1.98766e-05,1.98766e-05,1.98766e-05
